ID,Name,Editor
kashima,Eri Kashima,Yes
digarbo,Francesca Di Garbo,Yes
raatikainen,Oona Raatikainen,Yes
sinnemaki,Kaius Sinnemäki,Yes
desouza,Ricardo Napoleão de Souza,Yes
hyvonen,Anu Hyvönen,Yes
karinen,Kayleigh Karinen,Yes
avelino,Rosnátaly Avelino,No
berge,Anna Berge,No
blanco,Ana Blanco,No
bowden,Ross Bowden,No
brid,Nicolás Brid,No
brincat,Joseph Brincat,No
carpio,María Belén Carpio,No
cobbinah,Alexander Cobbinah,No
cuneo,Paola Cúneo,No
gholami,Saloumeh Gholami,No
ghosh,Arun Ghosh,No
gibson,Hannah Gibson,No
hall,Elizabeth Hall,No
hann,Katja Hannß,No
haynie,Hannah Haynie,No
jacka,Jerry Jacka,No
jenny,Matias Jenny,No
kowalik,Richard Kowalik,No
kulkarnijoshi,Sonal Kulkarni-Joshi,No
mous,Maarten Mous,No
mendoza,Marcela Mendoza,No
messineo,Cristina Messineo,No
moro,Francesca Moro,No
nater,Hank Nater,No
ocasio,Michelle Ocasio,No
olsson,Bruno Olsson,No
bozzi,Ana María Ospina Bozzi,No
paredes,Agustina Paredes,No
phiri,Admire Phiri,No
sandman,Erika Sandman,No
schokkin,Dineke Schokkin,No
singer,Ruth Singer,No
smithdennis,Ellen Smith-Dennis,No
souag,Lameen Souag,No
sulistyono,Yunus Sulistyono,No
treis,Yvonne Treis,No
urban,Matthias Urban,No
vaughan,Jill Vaughan,No
doyiso,Deginet Wotango Doyiso,No
ziegelmeyer,Georg Ziegelmeyer,No
zikmundova,Veronika Zikmundová,No
forkel,Robert Forkel,Yes
