QN_SetMetadata,,,,,,,,,,,,,,,,,,,,,
Set,Sukunimi,[q2o1answer],FLang,FISO,[q2o2answer],NLang,NISO,ContactPair,ContactPairCode,AArea,AAreaNum,Continent,Continent2,OrderDEM,OrderDFK,OrderDLB,OrderDLC,OrderDKN,OrderDTR,Coder,JoinedData
set01,Cobbinah,Baïnounk Gubëeher,Baïnounk Gubëeher,gube1234,Mandinka,Mandinka,mnk,Baïnounk Gubëeher - Mandinka,gube1234-mnk,African Savannah,African Savannah I,Africa,Africa,,,,,,,EK,V0M
set02,Ziegelmeyer,Bade,Bade,bde,Manga Kanuri,Manga Kanuri,kby,Bade - Manga Kanuri,bde-kby,African Savannah,African Savannah II,Africa,Africa,3,3,,,1,5,FDG,V0M
set04,Tries1,Kambaata,Kambaata,ktb,Wolaytta,Wolaytta,wal,Kambaata - Wolaytta,ktb-wal,Greater Abyssinia,Greater Abyssinia II,Africa,Africa,,,,,,,FDG,V0M
set05,Souag,Korandje,Korandje,dsq,North African Arabic,North African Arabic,tez,Korandje - NA Arabic,aaa-bbb,North Africa,North Africa I,Africa,Africa,,,,,,,FDG,V0M
set06a,Linguist,FLNA,FLNA,fff,NLNA,NLNA,nnn,FLNA-NLNA,fff-nnn,North Africa,North Africa II,Africa,Africa,,,,,,,FDG,V0M
set07,Phiri,Ndebele,Ndebele,nde,Tjwao,Tjwao,tjwa1234,Ndebele - Tjawo,nde-tjwa1234,Southern Africa,Southern Africa I,Africa,Africa,,,,,,,FDG,V0M
set08,Gibson,Rangi,Rangi,lag,Alagwa,Alagwa,wbj,Rangi - Alagwa,lag-wbj,South Africa,South Africa II,Africa,Africa,,,,,,,FDG,V0M
set09,Singer,Mawng,Mawng,mph,Kunbarlang,Kunbarlang,wlg,Mawng - Kunbarlang,mph-wlg,North Australia,North Australia I,Papuanesia + Pacific,Papuanesia + Pacific,,,,,,,EK,V0M
set10,Vaughan,Burarra,Burarra,bvr,Yolngu Matha,Yolngu Matha,yuul1239,Burara - Yolngu Matha,bvr-yuul1239,North Australia,North Australia II,Papuanesia + Pacific,Papuanesia + Pacific,,,,,,,EK,V2
set13b,Kowalik,South Saami,South Saami,sma,Norwegian/Swedish,Norwegian/Swedish,nor,South Saami - NorwegianSwedish,sma-nor,Europe,Europe I,Eurasia,Eurasia,,,,,,,OR,V2
set14,Brincat,Maltese,Maltese,mlt,Sicilian,Sicilian,scn,Maltese - Scicilian,mlt-scn,Europe,Europe II,Eurasia,Eurasia,,,,,,,OR,V0M
set15a,Haynie,Yurok,Yurok,yur,Karuk,Karuk,kyh,Yurok - Karuk,yur-kyh,California,California I,Americas,N America,,,,,,,OR,V2
set19a,Ocasio,Garifuna,Garifuna,cab,Galibi,Galibi,car,Garifuna - Galibi,cab-car,Mesoamerica,Mesoamerica I,Americas,S +C America,,,,,,,EK,V2
