QN_SetMetadata,,,,,,,,,,,,,,,,,,,,,
Set,Sukunimi,[q2o1answer],FLang,FISO,[q2o2answer],NLang,NISO,ContactPair,ContactPairCode,AArea,AAreaNum,Continent,Continent2,OrderDEM,OrderDFK,OrderDLB,OrderDLC,OrderDKN,OrderDTR,Coder,JoinedData
set20a,Avelino,Toluca (Temoaya) Otomi,Toluca (Temoaya) Otomi,ott,Mexican Spanish,Mexican Spanish,ieu,Temoaya Otomi - Mexican Spanish,ott-ieu,Mesoamerica,Mesoamerica II,Americas,S +C America,,,,,,,FDG,V0M
set21,SmithDennis,Papapana,Papapana,ppn,Rotokas,Rotokas,roo,Papapana - Rotokas,ppn-roo,Oceania,Oceania I,Papuanesia + Pacific,Papuanesia + Pacific,,,,,,,EK,V0M
set22,Moro1,Alorese,Alorese,aol,Adang,Adang,adn,Alorese - Adang,aol-adn,Oceania,Oceania II,Papuanesia + Pacific,Papuanesia + Pacific,,,,,,,EK,V0M
set23,Hannss,Chipaya,Chipaya,cap,Central (aka Bolivian) Aymara,Central (aka Bolivian) Aymara,ayr,Chipaya - Central Aymara,cap-ayr,Andean,Andean I,Americas,S +C America,,,,,,,FDG,V0M
set26a,Gholami,Zaza,Zaza,zza,Turkish,Turkish,tur,Zaza - Turkish,zza-tur,Greater Mesopotamia,Greater Mesopotamia II,Eurasia,Eurasia,,,,,,,OR,V0M
set27,Ghosh,Santali,Santali,atc,Bengali,Bengali,ieu,Santali - Bengali,atc-ieu,Indic,Indic I,Eurasia,Eurasia,,,,,,,OR,V0M
set28,Kulkarni-Joshi,Kupwar Marathi,Kupwar Marathi,mar,Kupwar Kannada,Kupwar Kannada,kan,Kupwar Marathi - Kupwar Kannada,mar-kan,Indic,Indic II,Eurasia,Eurasia,,,,,,,EK,V2
set30d,Zikmundova,Sibe,Sibe,sjo,Uighur,Uighur,uig,Sibe - Uighur,sjo-uig,Inner Asia,Inner Asia II,Eurasia,Eurasia,,,,,,,FDG,V2
set33,Hall,Muak Sa-aak,Muak Sa-aak,tlq,Tai Lue,Tai Lue,khb,Muak Sa-aak - Tai Lue,tlq-khb,Southeast Asia,Southeast Asia I,Eurasia,Eurasia,,,,,,,OR,V0M
set34,Jenny,Burmese,Burmese,mya,Mon,Mon,mnw,Burmese - Mon,mya-mnw,Southeast Asia,Southeast Asia II,Eurasia,Eurasia,,,,,,,OR,V0M
set35c,Berge,Aleut,Aleut,ale,Eyak,Eyak,eya,Aleut - Eyak,ale-eya,Alaska-Oregon,Alaska-Oregon I,Americas,N America,,,,,,,OR,V2
set36,Nater,Nuxalk,Nuxalk,blc,North Wakashan,North Wakashan,kwk,Nuxalk - North Wakashan,blc-kwk,Alaska-Oregon,Alaska-Oregon II,Americas,N America,,,,,,,EK,V0M
set40a,Jacka,Ipili,Ipili,ipi,Hewa,Hewa,ham,Ipili - Hewa,ipi-ham,Interior New Guinea,Interior New Guinea II,Papuanesia + Pacific,Papuanesia + Pacific,,,,,,,EK,V0M
set41c,Bowden,Kwoma,Kwoma,kmo,Manambu,Manambu,mle,Kwoma - Manambu,kmo-mle,North Coast New Guinea,North Coast New Guinea I,Papuanesia + Pacific,Papuanesia + Pacific,,,,,,,EK,V0M
set42a,Schokkin,Paluai,Paluai,blq,Tok Pisin,Tok Pisin,tpi,Paluai-Tok Pisin,blq-tpi,North Coast New Guinea,North Coast New Guinea II,Papuanesia + Pacific,Papuanesia + Pacific,,,,,,,FDG,V2
set43,Olsson,Marind,Marind,mrz,Marori,Marori,mok,Marind - Marori,mrz-mok,Southern New Guinea,Southern New Guinea I,Papuanesia + Pacific,Papuanesia + Pacific,,,,,,,EK,V0M
set45a,Kashima1,Nen,Nen,nqn,Idi,Idi,idi,Nen - Idi,nqn-idi,Southern New Guinea,Southern New Guinea III,Papuanesia + Pacific,Papuanesia + Pacific,,,,,,,FDG,V2
set48,OspinaBozzi,Yuhup,Yuhup,yab,Macuna,Macuna,myy,Yuhup - Macuna,yab-myy,Northeast South America,Northeast South America III,Americas,S +C America,,,,,,,EK,V0M
set49a,Carpio1,Western Toba,Western Toba,tob,Wichí,Wichí,wich1261,Western Toba - Wichí,tob-wich1261,Southest South America,Southest South America I,Americas,S +C America,,,,,,,OR,V0M
set51,Messineo,Toba,Toba,tob,Spanish,Spanish,spa,Toba-Spanish,tob-spa,Southest South America,Southest South America II,Americas,S +C America,,,,,,,OR,V0M
