SetID,Old_SetID,[q2o1answer],F_Lang,F_Glottocode,F_Iso,[q2o2answer],N_Lang,N_Glottocode,N_Iso,ContactPair,ContactPair_Iso,ConcactPair_glottocode,AArea,Surname,Respondents,Reviewer(s)
set23,set30d,Sibe,Sibe,sibe1252,sjo,Uighur,Uighur,uigh1240,uig,Sibe - Uighur,sjo-uig,sibe1252-uigh1240,Inner Asia,Zikmundova,Veronika Zikmundová,"FDG, OR"
set24,set51,Toba,Toba,toba1269,tob,Spanish,Spanish,riop1234,spa,Toba - Spanish,tob-spa,toba1269-riop1234,Southeast South America,Messineo1Cuneo2Paredes3Brid4Blanco5,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco,OR
set25,set49a,Western Toba,Western Toba,toba1270,tob,Wichí,Wichí,wich1261,mtp,Western Toba - Wichí,tob-mtp,toba1270-wich1261,Southeast South America,Carpio1Mendoza2,María Belén Carpio & Marcela Mendoza,OR
set26,set19a,Garifuna,Garifuna,gari1256,cab,Galibi,Galibi Carib,gali1262,car,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,Ocasio,Michelle Ocasio,EK
set27,set42a,Paluai,Paluai,balu1257,blw,Tok Pisin,Tok Pisin,tokp1240,tpi,Paluai - Tok Pisin,blw-tpi,balu1257-tokp1240,North Coast New Guinea,Schokkin,Dineke Schokkin,"FDG, EK"
set28,set45a,Nen,Nen,nenn1238,nqn,Idi,Idi,nucl1597,idi,Nen - Idi,nqn-idi,nenn1238-nucl1597,Southern New Guinea,Kashima1Schokkin2,Eri Kashima & Dineke Schokkin,"FDG, OR"
set29,set10,Burarra,Burarra,bura1267,bvr,Yolngu Matha,Yolngu Matha,yuul1239,dji,Burarra - Yolngu Matha,bvr-dji,bura1267-yuul1239,North Australia,Vaughan,Jill Vaughan,EK
set30,set13b,South Saami,South Saami,sout2674,sma,Norwegian/Swedish,NorwegianSwedish,norw1258,nor,South Saami - NorwegianSwedish,sma-nor,sout2674-norw1258,Europe,Kowalik,Richard Kowalik,"OR, EK"
set31,set28,Kupwar Marathi,Kupwar Marathi,mara1378,mar,Kupwar Kannada,Kupwar Kannada,nucl1305,kan,Kupwar Marathi - Kupwar Kannada,mar-kan,mara1378-nucl1305,Indic,Kulkarni-Joshi,Sonal Kulkarni-Joshi,EK
set32,set15a,Yurok,Yurok,yuro1248,yur,Karuk,Karok,karo1304,kyh,Yurok - Karuk,yur-kyh,yuro1248-karo1304,California,Haynie,Hannah Haynie,OR
set33,set35c,Aleut,Aleut,aleu1260,ale,Eyak,Eyak,eyak1241,eya,Aleut - Eyak,ale-eya,aleu1260-eyak1241,Alaska-Oregon,Berge,Anna Berge,OR
set34,set29,Wutun,Wutun,wutu1241,wuh,Bonan,Bonan,bona1250,peh,Wutun - Bonan,wuh-peh,wutu1241-bona1250,Inner Asia,Sandman,Erika Sandman,EK
